476
1.30841e+05 1.06700e+22 1.397574605930545e+17 7.886909342511539e+28
1.38795e+05 1.10429e+22 1.425249416119117e+17 8.366440467335748e+28
1.47233e+05 1.14392e+22 1.452984004048614e+17 8.875127512392960e+28
1.56184e+05 1.18606e+22 1.480785459631404e+17 9.414743183646615e+28
1.65680e+05 1.23087e+22 1.508649385484535e+17 9.987167969164368e+28
1.75752e+05 1.27852e+22 1.536583201038562e+17 1.059439669236618e+29
1.86437e+05 1.32920e+22 1.564591285970478e+17 1.123854546371575e+29
1.97772e+05 1.38310e+22 1.592672203908876e+17 1.192185905508099e+29
2.09795e+05 1.44045e+22 1.620835326556023e+17 1.264671872246220e+29
2.22550e+05 1.50147e+22 1.649083267095154e+17 1.341565050434909e+29
2.36081e+05 1.56639e+22 1.677418067087598e+17 1.423133402462528e+29
2.50434e+05 1.63550e+22 1.705849588596691e+17 1.509661183069734e+29
2.65659e+05 1.70906e+22 1.734380024128246e+17 1.601449929939030e+29
2.81811e+05 1.78738e+22 1.763014787864815e+17 1.698819514513051e+29
2.98944e+05 1.87079e+22 1.791763401565594e+17 1.802109256703539e+29
3.17119e+05 1.95964e+22 1.820628892132062e+17 1.911679107375612e+29
3.36400e+05 2.05429e+22 1.849619537060850e+17 2.027910902728144e+29
3.56852e+05 2.15516e+22 1.878744270327423e+17 2.151209694941576e+29
3.78548e+05 2.26268e+22 1.908007904992743e+17 2.282005163730315e+29
4.01563e+05 2.37731e+22 1.937420949578468e+17 2.420753113718768e+29
4.25978e+05 2.49957e+22 1.966992056581582e+17 2.567937062859181e+29
4.51877e+05 2.62999e+22 1.996728424768862e+17 2.724069927426699e+29
4.79351e+05 2.76916e+22 2.026642131178359e+17 2.889695809463624e+29
5.08495e+05 2.91771e+22 2.056742176860945e+17 3.065391892901883e+29
5.39411e+05 3.07632e+22 2.087038366579956e+17 3.251770454971440e+29
5.72207e+05 3.24573e+22 2.117543871050495e+17 3.449480999904119e+29
6.06997e+05 3.42674e+22 2.148268772556082e+17 3.659212522368534e+29
6.43902e+05 3.62020e+22 2.179225459097602e+17 3.881695908523882e+29
6.83051e+05 3.82706e+22 2.210427984332789e+17 4.117706483059946e+29
7.24581e+05 4.04830e+22 2.241888133848280e+17 4.368066711099398e+29
7.68636e+05 4.28503e+22 2.273620699668624e+17 4.633649064378188e+29
8.15369e+05 4.53842e+22 2.305640666131391e+17 4.915379061692237e+29
8.64943e+05 4.80975e+22 2.337961958212429e+17 5.214238494206020e+29
9.17532e+05 5.10041e+22 2.370601508654701e+17 5.531268846862777e+29
9.73319e+05 5.41190e+22 2.403575478794341e+17 5.867574927819526e+29
1.03250e+06 5.74585e+22 2.436900170879653e+17 6.224328718554951e+29
1.09527e+06 6.10403e+22 2.470594372007050e+17 6.602773458067301e+29
1.16187e+06 6.48835e+22 2.504675744061085e+17 7.004227975395146e+29
1.23251e+06 6.90089e+22 2.539163011254156e+17 7.430091285559286e+29
1.30745e+06 7.34393e+22 2.574076595407836e+17 7.881847464941997e+29
1.38694e+06 7.81990e+22 2.609435941689060e+17 8.361070823093710e+29
1.47127e+06 8.33149e+22 2.645262102773914e+17 8.869431388990141e+29
1.56072e+06 8.88157e+22 2.681577012727576e+17 9.408700730858751e+29
1.65562e+06 9.47331e+22 2.718402060144661e+17 9.980758129855850e+29
1.75628e+06 1.01101e+23 2.755760390882964e+17 1.058759712910876e+30
1.86307e+06 1.07957e+23 2.793675390709256e+17 1.123133248094563e+30
1.97635e+06 1.15341e+23 2.832170435917951e+17 1.191420751652293e+30
2.09651e+06 1.23297e+23 2.871270485773767e+17 1.263860196353302e+30
2.22398e+06 1.31873e+23 2.911000321069704e+17 1.340704023923513e+30
2.35920e+06 1.41120e+23 2.951385191367982e+17 1.422220024771021e+30
2.50265e+06 1.51095e+23 2.992451575623636e+17 1.508692271199656e+30
2.65482e+06 1.61858e+23 3.034225603426431e+17 1.600422107362776e+30
