7.069210999999999689e-01 1.226848758314509524e+01 1.488979000000000087e+04
7.071163999999999783e-01 1.226848758314509524e+01 1.486460000000000036e+04
7.073116999999999877e-01 1.226848758314509524e+01 1.484228000000000065e+04
7.075069999999999970e-01 1.226848758314509524e+01 1.482412000000000080e+04
7.077023999999999537e-01 1.226848758314509524e+01 1.480089999999999964e+04
7.078978000000000215e-01 1.226848758314509524e+01 1.478326000000000022e+04
7.080933000000000366e-01 1.226848758314509524e+01 1.476762999999999920e+04
7.082888000000000517e-01 1.226848758314509524e+01 1.474102000000000044e+04
7.084844000000000142e-01 1.226848758314509524e+01 1.472219000000000051e+04
7.086799000000000293e-01 1.226848758314509524e+01 1.471115999999999985e+04
7.088756000000000501e-01 1.226848758314509524e+01 1.468540999999999985e+04
7.090712000000000126e-01 1.226701051986756852e+01 1.466407999999999993e+04
7.092669000000000334e-01 1.226701051986756852e+01 1.464698999999999978e+04
7.094626000000000543e-01 1.226701051986756852e+01 1.462338999999999942e+04
7.096584000000000225e-01 1.226701051986756852e+01 1.460647999999999956e+04
7.098541999999999907e-01 1.226701051986756852e+01 1.459050000000000000e+04
7.100501000000000174e-01 1.226701051986756852e+01 1.456303000000000065e+04
7.102458999999999856e-01 1.226701051986756852e+01 1.454626000000000022e+04
7.104418999999999595e-01 1.226701051986756852e+01 1.453529000000000087e+04
7.106377999999999862e-01 1.226701051986756852e+01 1.450881999999999971e+04
7.108337999999999601e-01 1.226701051986756852e+01 1.448862999999999920e+04
7.110298999999999925e-01 1.226701051986756852e+01 1.447139999999999964e+04
7.112258999999999665e-01 1.226701051986756852e+01 1.444700000000000000e+04
7.114219999999999988e-01 1.226701051986756852e+01 1.443137000000000080e+04
7.116181999999999785e-01 1.226553345659004179e+01 1.441586000000000058e+04
7.118143999999999583e-01 1.226553345659004179e+01 1.438769000000000051e+04
7.120106000000000490e-01 1.226553345659004179e+01 1.437302000000000044e+04
7.122068999999999761e-01 1.226553345659004179e+01 1.436096999999999935e+04
7.124032000000000142e-01 1.226553345659004179e+01 1.433370000000000073e+04
7.125995000000000523e-01 1.226553345659004179e+01 1.431438999999999942e+04
7.127959000000000378e-01 1.226553345659004179e+01 1.429814999999999964e+04
7.129923000000000233e-01 1.226553345659004179e+01 1.427430999999999949e+04
7.131887000000000087e-01 1.226553345659004179e+01 1.425920000000000073e+04
7.133852000000000526e-01 1.226553345659004179e+01 1.424300000000000000e+04
7.135818000000000438e-01 1.226553345659004179e+01 1.421504999999999927e+04
7.137782999999999767e-01 1.226553345659004179e+01 1.420119000000000051e+04
7.139748999999999679e-01 1.226553345659004179e+01 1.418861000000000058e+04
7.141716000000000175e-01 1.226405639331251329e+01 1.416261000000000058e+04
7.143682999999999561e-01 1.226405639331251329e+01 1.414342000000000007e+04
7.145650000000000057e-01 1.226405639331251329e+01 1.412681999999999971e+04
7.147617000000000553e-01 1.226405639331251329e+01 1.410354999999999927e+04
7.149585000000000523e-01 1.226405639331251329e+01 1.408854000000000087e+04
7.151553000000000493e-01 1.226405639331251329e+01 1.407196999999999935e+04
7.153521999999999936e-01 1.226405639331251329e+01 1.404550000000000000e+04
7.155491000000000490e-01 1.226405639331251329e+01 1.403230999999999949e+04
7.157461000000000517e-01 1.226405639331251329e+01 1.401847999999999956e+04
7.159429999999999961e-01 1.226405639331251329e+01 1.399328000000000065e+04
7.161400999999999462e-01 1.226405639331251329e+01 1.397384000000000015e+04
7.163370999999999489e-01 1.226405639331251329e+01 1.395723999999999978e+04
7.165342000000000100e-01 1.226405639331251329e+01 1.393644000000000051e+04
7.167312999999999601e-01 1.226257933003498479e+01 1.392079999999999927e+04
7.169284999999999686e-01 1.226257933003498479e+01 1.390315999999999985e+04
7.171256999999999771e-01 1.226257933003498479e+01 1.387835000000000036e+04
7.173230000000000439e-01 1.226257933003498479e+01 1.386462999999999920e+04
7.175202000000000524e-01 1.226257933003498479e+01 1.385015999999999985e+04
7.177175999999999556e-01 1.226257933003498479e+01 1.382720000000000073e+04
7.179149000000000225e-01 1.226257933003498479e+01 1.380730999999999949e+04
7.181123000000000367e-01 1.226257933003498479e+01 1.379005999999999949e+04
7.183097000000000509e-01 1.226257933003498479e+01 1.377125000000000000e+04
7.185072000000000125e-01 1.226257933003498479e+01 1.375418000000000029e+04
7.187046999999999741e-01 1.226257933003498479e+01 1.373552000000000044e+04
7.189022000000000467e-01 1.226257933003498479e+01 1.371377000000000044e+04
7.190997999999999557e-01 1.226257933003498479e+01 1.370015999999999985e+04
7.192973999999999757e-01 1.226257933003498479e+01 1.368402000000000044e+04
7.194951000000000541e-01 1.226110226675745807e+01 1.366240999999999985e+04
7.196928000000000214e-01 1.226110226675745807e+01 1.364188999999999942e+04
7.198904999999999887e-01 1.226110226675745807e+01 1.362362000000000080e+04
7.200883000000000145e-01 1.226110226675745807e+01 1.360745999999999913e+04
7.202861000000000402e-01 1.226110226675745807e+01 1.359020000000000073e+04
7.204838999999999549e-01 1.226110226675745807e+01 1.356934000000000015e+04
7.206818000000000390e-01 1.226110226675745807e+01 1.355021999999999935e+04
7.208797000000000121e-01 1.226110226675745807e+01 1.353693000000000029e+04
7.210777000000000436e-01 1.226110226675745807e+01 1.351701000000000022e+04
7.212756999999999641e-01 1.226110226675745807e+01 1.349887000000000080e+04
7.214736999999999956e-01 1.226110226675745807e+01 1.347919000000000051e+04
