# MvsR for tab1d_cold /home/gieg/projects/eos/RMF3/RMF3_TOV.d
# p_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 5.286079e-05 7.610081e+00 6.883531e-01 7.164905e-01 8.314000e+00 1.692754e+04 8.697770e-04 8.803849e+00
 5.288395e-05 7.609880e+00 6.885447e-01 7.167004e-01 8.314000e+00 1.691108e+04 8.698992e-04 8.803966e+00
 5.290713e-05 7.609680e+00 6.887363e-01 7.169103e-01 8.314000e+00 1.688496e+04 8.700214e-04 8.804083e+00
 5.293031e-05 7.609479e+00 6.889280e-01 7.171202e-01 8.314000e+00 1.686026e+04 8.701436e-04 8.804200e+00
 5.295350e-05 7.609278e+00 6.891197e-01 7.173303e-01 8.314000e+00 1.684028e+04 8.702659e-04 8.804317e+00
 5.297671e-05 7.609077e+00 6.893114e-01 7.175403e-01 8.314000e+00 1.681943e+04 8.703881e-04 8.804435e+00
 5.299992e-05 7.608876e+00 6.895032e-01 7.177504e-01 8.314000e+00 1.679611e+04 8.705104e-04 8.804552e+00
 5.302315e-05 7.608675e+00 6.896950e-01 7.179606e-01 8.314000e+00 1.677619e+04 8.706327e-04 8.804669e+00
 5.304638e-05 7.608474e+00 6.898869e-01 7.181708e-01 8.314000e+00 1.674638e+04 8.707550e-04 8.804786e+00
 5.306963e-05 7.608273e+00 6.900788e-01 7.183810e-01 8.314000e+00 1.672248e+04 8.708773e-04 8.804904e+00
 5.309288e-05 7.607070e+00 6.902707e-01 7.185913e-01 8.313000e+00 1.670835e+04 8.709996e-04 8.803926e+00
 5.311615e-05 7.606869e+00 6.904627e-01 7.188017e-01 8.313000e+00 1.668194e+04 8.711220e-04 8.804043e+00
 5.313942e-05 7.606668e+00 6.906547e-01 7.190121e-01 8.313000e+00 1.665638e+04 8.712444e-04 8.804161e+00
 5.316271e-05 7.606467e+00 6.908468e-01 7.192225e-01 8.313000e+00 1.663724e+04 8.713667e-04 8.804278e+00
 5.318600e-05 7.606266e+00 6.910389e-01 7.194330e-01 8.313000e+00 1.661548e+04 8.714892e-04 8.804395e+00
 5.320931e-05 7.606064e+00 6.912310e-01 7.196436e-01 8.313000e+00 1.659451e+04 8.716116e-04 8.804513e+00
 5.323263e-05 7.605863e+00 6.914232e-01 7.198541e-01 8.313000e+00 1.657471e+04 8.717340e-04 8.804630e+00
 5.325595e-05 7.605662e+00 6.916154e-01 7.200648e-01 8.313000e+00 1.654504e+04 8.718565e-04 8.804748e+00
 5.327929e-05 7.605460e+00 6.918076e-01 7.202755e-01 8.313000e+00 1.652180e+04 8.719790e-04 8.804865e+00
 5.330264e-05 7.605259e+00 6.919999e-01 7.204862e-01 8.313000e+00 1.650601e+04 8.721015e-04 8.804982e+00
 5.332599e-05 7.605057e+00 6.921922e-01 7.206970e-01 8.313000e+00 1.648064e+04 8.722240e-04 8.805100e+00
 5.334936e-05 7.603854e+00 6.923846e-01 7.209078e-01 8.312000e+00 1.645806e+04 8.723465e-04 8.804122e+00
 5.337274e-05 7.603652e+00 6.925770e-01 7.211187e-01 8.312000e+00 1.643667e+04 8.724691e-04 8.804240e+00
 5.339612e-05 7.603451e+00 6.927694e-01 7.213296e-01 8.312000e+00 1.641475e+04 8.725916e-04 8.804357e+00
 5.341952e-05 7.603249e+00 6.929619e-01 7.215406e-01 8.312000e+00 1.639608e+04 8.727142e-04 8.804475e+00
 5.344293e-05 7.603047e+00 6.931544e-01 7.217516e-01 8.312000e+00 1.637437e+04 8.728368e-04 8.804592e+00
 5.346635e-05 7.602845e+00 6.933470e-01 7.219627e-01 8.312000e+00 1.634543e+04 8.729595e-04 8.804710e+00
 5.348978e-05 7.602644e+00 6.935395e-01 7.221738e-01 8.312000e+00 1.632447e+04 8.730821e-04 8.804828e+00
 5.351322e-05 7.602442e+00 6.937322e-01 7.223850e-01 8.312000e+00 1.630659e+04 8.732048e-04 8.804945e+00
 5.353667e-05 7.602240e+00 6.939248e-01 7.225962e-01 8.312000e+00 1.628253e+04 8.733275e-04 8.805063e+00
 5.356013e-05 7.602038e+00 6.941175e-01 7.228075e-01 8.312000e+00 1.626150e+04 8.734502e-04 8.805181e+00
 5.358360e-05 7.601836e+00 6.943103e-01 7.230188e-01 8.312000e+00 1.623804e+04 8.735729e-04 8.805298e+00
 5.360708e-05 7.601634e+00 6.945031e-01 7.232302e-01 8.312000e+00 1.621653e+04 8.736956e-04 8.805416e+00
 5.363057e-05 7.600430e+00 6.946959e-01 7.234416e-01 8.311000e+00 1.620025e+04 8.738184e-04 8.804438e+00
 5.365407e-05 7.600228e+00 6.948888e-01 7.236530e-01 8.311000e+00 1.617773e+04 8.739412e-04 8.804556e+00
 5.367758e-05 7.600026e+00 6.950817e-01 7.238645e-01 8.311000e+00 1.615003e+04 8.740640e-04 8.804674e+00
 5.370110e-05 7.599823e+00 6.952746e-01 7.240761e-01 8.311000e+00 1.612913e+04 8.741868e-04 8.804791e+00
 5.372463e-05 7.599621e+00 6.954676e-01 7.242877e-01 8.311000e+00 1.611000e+04 8.743096e-04 8.804909e+00
 5.374817e-05 7.599419e+00 6.956606e-01 7.244994e-01 8.311000e+00 1.608638e+04 8.744325e-04 8.805027e+00
