redshift    gw_detected    grb_detected    DeltaOmega    telt_vr    lsstg    lssti    telt_ztf    ztfg    ztfi    telt_pstarrs    ps1::g    ps1::i    telt_ultrasat    ultrasat_custom    radio_afterglow    opt_afterglow    xray_afterglow    telt_vr_afterglow 
1.580    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.859    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.192    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.764    1    0    2226.46    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.293    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.960    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.729    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.041    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.508    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
7.202    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.841    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.419    1    0    262.84    0    0    0    0    0    0    0    0    0    0.03125    0    0    0    0    0.0 
2.059    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.201    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.689    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.609    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.061    1    0    3748.81    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.432    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.896    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.629    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.936    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.570    1    0    7818.46    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.931    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.230    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.552    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.663    1    0    2063.66    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.358    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.395    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.373    1    0    5054.48    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.958    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.008    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.515    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.417    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.420    1    0    8467.21    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.259    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.727    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.598    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.946    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.880    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
5.031    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
