2.141495157934921595e-02 2.552533717215904564e-05
2.865882854035546254e-02 3.782222747579294734e-05
3.826758356819091184e-02 5.396837030464893281e-05
5.114437591140442996e-02 7.735207087368315727e-05
6.835534371450532887e-02 1.104039839955697110e-04
9.136463630705138339e-02 1.570653809076530091e-04
1.220777005414415417e-01 2.224916264390408398e-04
1.631425052139769682e-01 3.138425036005941093e-04
2.180457863598178614e-01 4.118940205193690244e-04
2.913519359796963859e-01 4.697541682978105993e-04
3.893049196110074384e-01 5.446923478320714633e-04
5.202873801090065475e-01 6.518571207229842792e-04
6.950520916642048963e-01 8.106724361621447245e-04
9.281700641027791354e-01 1.049216902995918875e-03
1.240399097513662729e+00 1.411567043132613006e-03
1.657854370973255609e+00 1.961951038428407564e-03
2.215226671574547890e+00 2.797632226984429499e-03
2.960172800933835280e+00 4.063305490150272495e-03
3.955744426264594438e+00 5.968987909966620535e-03
5.285553613706502674e+00 8.815273429701552324e-03
7.062744038506278521e+00 1.303918991027625332e-02
9.436500136854750309e+00 1.925200616467539344e-02
1.261409869015238883e+01 2.834313264874366300e-02
1.686779775510187918e+01 4.160198189317734774e-02
2.254801383864381492e+01 6.098244522360454778e-02
5.660076310000000177e+01 1.964827033200000073e-01
8.515357620000000338e+01 7.720746633000000747e-01
1.139307728999999938e+02 1.949847411599999747e+00
1.429884490999999969e+02 3.823548413399999735e+00
1.723827006999999867e+02 6.491169359999998889e+00
2.021696235999999942e+02 1.013621061599999962e+01
2.324614095999999961e+02 1.491096500099999922e+01
2.633141545999999948e+02 2.097147023999999860e+01
2.948400503999999955e+02 2.846752254900000167e+01
3.275439600999999925e+02 3.564525789900000063e+01
3.611454041999999731e+02 4.321620831599999946e+01
3.954760949999999866e+02 5.188566431699999981e+01
4.305921283999999787e+02 6.168483344699999549e+01
4.664374085000000036e+02 7.171493841000000202e+01
5.030119353000000046e+02 8.245033388999999602e+01
5.402596128999999792e+02 9.412195571999998833e+01
5.783487290000000485e+02 1.067298038999999932e+02
6.170548999999999751e+02 1.203362935199999839e+02
6.563220300000000407e+02 1.350662547599999925e+02
6.967110780000000432e+02 1.507948574399999870e+02
7.376610849999999573e+02 1.675845166500000119e+02
7.797330100000000357e+02 1.854976474799999835e+02
8.223658940000000257e+02 2.034731933999999853e+02
8.655597370000000410e+02 2.219480600399999730e+02
9.093145389999999679e+02 2.411094926700000087e+02
9.541912589999999454e+02 2.610199063799999522e+02
9.996289379999999483e+02 2.816168860799999720e+02
1.046188535000000002e+03 3.030876770400000169e+02
1.093309091000000080e+03 3.239967321899999888e+02
1.140990606000000071e+03 3.443440515300000015e+02
1.189233079999999973e+03 3.649410312300000214e+02
1.238597471999999925e+03 3.859125014699999952e+02
1.287961863999999878e+03 4.072584622500000364e+02
1.338448173999999881e+03 4.291037437499999783e+02
1.388934483999999884e+03 4.513859308799999894e+02
1.441103671000000077e+03 4.741674387300000149e+02
1.493272858000000042e+03 4.973858522100000528e+02
1.546003003999999919e+03 5.209163411399999859e+02
1.599855068000000074e+03 5.446964904299999262e+02
